source,target,weight
1009351,1009719,15
1009351,1009554,7
1009351,1009452,8
1009351,1011109,0
1009351,1009277,5
1009351,1009372,1
1009351,1009499,8
1009351,1009609,4
1009351,1010771,0
1009351,1009652,26
1009351,1009389,4
1009351,1009224,31
1009351,1010894,0
1009351,1009288,3
1009351,1009365,6
1009351,1009381,0
1009351,1009267,4
1009351,1011023,17
1009351,1016181,2
1009351,1009608,33
1009351,1009480,7
1009351,1009705,1
1009351,1010738,8
1009351,1009477,10
1009351,1009379,116
1009351,1009312,27
1009351,1009722,1
1009351,1009327,10
1009351,1009577,6
1009351,1009297,20
1009351,1009382,13
1009351,1010373,0
1009351,1009325,10
1009351,1009638,5
1009351,1010354,19
1009299,1009610,166
1009299,1009726,82
1009299,1009368,77
1009299,1009220,65
1009299,1009718,57
1009299,1009165,136
1009299,1009664,80
1009299,1009351,75
1009299,1009262,57
1009299,1009356,823
1009299,1009662,708
1009299,1009257,16
1009299,1009268,5
1009299,1009282,34
1009299,1009629,16
1009299,1009366,779
1009299,1009515,8
1009299,1009175,10
1009299,1009187,58
1009299,1009243,10
1009299,1010791,22
1009299,1009459,511
1009299,1009546,3
1009299,1009592,73
1009299,1009472,4
1009299,1009338,5
1009299,1009362,10
1009299,1009697,19
1009299,1009159,0
1009299,1009189,5
1009299,1009313,3
1009299,1010338,54
1009299,1009562,18
1009299,1009471,33
1009299,1009214,1
1009299,1009583,102
1009299,1009724,1
1009299,1009417,12
1009299,1009512,5
1009299,1009281,178
1009299,1009707,20
1009299,1010852,0
1009299,1009367,5
1009299,1009407,7
1009299,1009708,18
1009299,1011336,2
1009299,1009504,12
1009299,1009310,6
1009299,1010360,4
1009299,1009318,8
1009299,1009215,12
1009299,1009524,16
1009299,1010370,6
1009299,1010892,0
1009299,1009337,1
1009299,1009182,3
1009299,1011299,2
1009299,1011010,0
1009299,1009466,65
1009299,1009508,1
1009299,1011490,11
1009299,1009343,11
1009299,1009219,0
1009299,1009719,5
1009299,1009554,0
1009299,1009452,3
1009299,1011109,0
1009299,1009277,1
1009299,1009372,23
1009299,1009499,1
1009299,1009609,0
1009299,1010771,0
1009299,1009652,11
1009299,1009389,5
1009299,1009224,4
1009299,1010894,0
1009299,1009288,0
1009299,1009365,32
1009299,1009381,0
1009299,1009267,3
1009299,1011023,3
1009299,1016181,0
1009299,1009608,8
1009299,1009480,4
1009299,1009705,1
1009299,1010738,7
1009299,1009477,7
1009299,1009379,2
1009299,1009312,85
1009299,1009722,2
1009299,1009327,1
1009299,1009577,1
1009299,1009297,2
1009299,1009382,3
1009299,1010373,1
1009299,1009325,3
1009299,1009638,1
1009299,1010354,7
1009262,1009610,174
1009262,1009726,21
1009262,1009368,78
1009262,1009220,80
1009262,1009718,40
1009262,1009165,47
1009262,1009664,65
1009262,1009351,44
1009262,1009299,57
1009262,1009356,39
1009262,1009662,51
1009262,1009257,14
1009262,1009268,12
1009262,1009282,52
1009262,1009629,10
1009262,1009366,42
1009262,1009515,97
1009262,1009175,14
1009262,1009187,30
1009262,1009243,6
1009262,1010791,9
1009262,1009459,44
1009262,1009546,3
1009262,1009592,18
1009262,1009472,6
1009262,1009338,18
1009262,1009362,6
1009262,1009697,14
1009262,1009159,4
1009262,1009189,141
1009262,1009313,4
1009262,1010338,11
1009262,1009562,19
1009262,1009471,27
1009262,1009214,0
1009262,1009583,15
1009262,1009724,0
1009262,1009417,8
1009262,1009512,3
1009262,1009281,28
1009262,1009707,15
1009262,1010852,0
1009262,1009367,50
1009262,1009407,15
1009262,1009708,12
1009262,1011336,0
1009262,1009504,0
1009262,1009310,3
1009262,1010360,0
1009262,1009318,14
1009262,1009215,44
1009262,1009524,9
1009262,1010370,5
1009262,1010892,0
1009262,1009337,2
1009262,1009182,0
1009262,1011299,2
1009262,1011010,0
1009262,1009466,7
1009262,1009508,2
1009262,1011490,14
1009262,1009343,7
1009262,1009219,1
1009262,1009719,9
1009262,1009554,2
1009262,1009452,37
1009262,1011109,0
1009262,1009277,2
1009262,1009372,19
1009262,1009499,0
1009262,1009609,8
1009262,1010771,0
1009262,1009652,8
1009262,1009389,119
1009262,1009224,9
1009262,1010894,0
1009262,1009288,73
1009262,1009365,5
1009262,1009381,0
1009262,1009267,2
1009262,1011023,2
1009262,1016181,1
1009262,1009608,6
1009262,1009480,3
1009262,1009705,0
1009262,1010738,0
1009262,1009477,10
1009262,1009379,2
1009262,1009312,6
1009262,1009722,0
1009262,1009327,7
1009262,1009577,14
1009262,1009297,7
1009262,1009382,1
1009262,1010373,0
1009262,1009325,5
1009262,1009638,1
1009262,1010354,3
1009356,1009610,163
1009356,1009726,30
1009356,1009368,120
1009356,1009220,130
1009356,1009718,78
1009356,1009165,64
1009356,1009664,98
1009356,1009351,83
1009356,1009299,823
1009356,1009262,39
1009356,1009662,758
1009356,1009257,50
1009356,1009268,6
1009356,1009282,32
1009356,1009629,51
1009356,1009366,789
1009356,1009515,7
1009356,1009175,21
1009356,1009187,50
1009356,1009243,43
1009356,1010791,80
1009356,1009459,563
1009356,1009546,35
1009356,1009592,55
1009356,1009472,27
1009356,1009338,30
1009356,1009362,18
1009356,1009697,42
1009356,1009159,11
1009356,1009189,17
1009356,1009313,10
1009356,1010338,60
1009356,1009562,45
1009356,1009471,38
1009356,1009214,5
1009356,1009583,119
1009356,1009724,0
1009356,1009417,20
1009356,1009512,5
1009356,1009281,136
1009356,1009707,66
1009356,1010852,0
1009356,1009367,8
1009356,1009407,6
1009356,1009708,6
1009356,1011336,0
1009356,1009504,30
1009356,1009310,4
1009356,1010360,0
1009356,1009318,10
1009356,1009215,9
1009356,1009524,36
1009356,1010370,2
1009356,1010892,0
1009356,1009337,2
1009356,1009182,7
1009356,1011299,0
1009356,1011010,0
1009356,1009466,66
1009356,1009508,2
1009356,1011490,12
1009356,1009343,13
1009356,1009219,9
1009356,1009719,17
1009356,1009554,0
1009356,1009452,4
1009356,1011109,0
1009356,1009277,1
